,propertyCode,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,distance,hasVideo,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has360,hasStaging,floor,hasLift,parkingSpace
0,98903350,550.0,chalet,rent,371.0,False,6,3,Numancia de la Sagra,Toledo,Numancia de la Sagra,es,400.675.955,-38.225.891,False,40116,0.0,good,0.0,1.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Numancia de la Sagra', 'title': 'Casa independiente'}",0.0,0.0,0.0,,,
1,98222714,450.0,flat,rent,89.0,False,2,1,Calle Arroyo,Toledo,Recas,es,400.536.974,-39.912.159,False,47186,0.0,good,0.0,5.0,{'typology': 'flat'},"{'subtitle': 'Recas', 'title': 'Piso en Calle Arroyo'}",0.0,0.0,0.0,2,1.0,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
2,98027143,450.0,flat,rent,60.0,True,2,1,Calle Arena,Toledo,Cedillo del Condado,es,401.171.401,-39.246.053,False,38237,0.0,good,0.0,8.0,{'typology': 'flat'},"{'subtitle': 'Cedillo del Condado', 'title': 'Piso en Calle Arena'}",0.0,0.0,0.0,1,False,
3,98871157,550.0,flat,rent,90.0,True,3,1,El Viso de San Juan,Toledo,El Viso de San Juan,es,401.441.987,-39.242.105,False,35627,0.0,good,0.0,6.0,{'typology': 'flat'},"{'subtitle': 'El Viso de San Juan', 'title': 'Piso'}",0.0,0.0,0.0,2,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
4,81435390,400.0,penthouse,rent,70.0,True,2,1,Camarena,Toledo,Camarena,es,400.889.599,-411.882,False,50710,0.0,good,0.0,6.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Camarena', 'title': 'Ático'}",0.0,0.0,0.0,2,True,
5,97899558,750.0,flat,rent,95.0,True,3,2,"julian sanz del rio, 2",Toledo,Illescas,es,401.274.761,-38.487.022,True,34444,,,,,,,,,,,,
6,98472116,730.0,flat,rent,98.0,True,3,2,Calle Lavadero,Toledo,Seseña,es,40.104.041,-36.543.404,False,35011,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Seseña Nuevo, Seseña', 'title': 'Piso en Calle Lavadero'}",False,False,False,2,True,
7,98702503,530.0,flat,rent,50.0,True,2,1,Calle VALLADOLID,Toledo,Casarrubios del Monte,es,402.539.157,-40.734.529,False,36223,False,good,False,11.0,{'typology': 'flat'},"{'subtitle': 'Casarrubios del Monte', 'title': 'Piso en Calle VALLADOLID'}",False,False,False,1,False,
8,98708163,650.0,flat,rent,70.0,True,2,1,jerez,Toledo,Calypo Fado,es,40.247.822,-4.060.189,False,35607,False,good,False,9.0,{'typology': 'flat'},"{'subtitle': 'Calypo Fado', 'title': 'Piso en jerez'}",False,False,False,1,False,
9,98715256,650.0,flat,rent,70.0,True,2,1,jerez,Toledo,Calypo Fado,es,402.449.057,-40.682.374,False,36358,False,good,False,9.0,{'typology': 'flat'},"{'subtitle': 'Calypo Fado', 'title': 'Piso en jerez'}",False,False,False,1,False,
10,98924864,675.0,flat,rent,84.0,True,2,2,Calle Rembrandt,Toledo,Seseña,es,401.328.108,-3.669.026,False,31698,False,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso en Calle Rembrandt'}",False,False,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
11,93659321,650.0,flat,rent,84.0,True,2,1,ILLESCAS,Toledo,Yuncos,es,400.890.898,-38.695.423,False,39064,True,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'Yuncos', 'title': 'Piso en ILLESCAS'}",False,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
12,97781466,500.0,duplex,rent,96.0,True,3,2,Calle Pozas,Toledo,Esquivias,es,40.103.017,-37.639.826,False,35256,True,good,False,5.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Esquivias', 'title': 'Dúplex en Calle Pozas'}",False,True,False,1,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
13,97837709,600.0,flat,rent,85.0,True,2,1,Calle los Perales,Toledo,Yuncos,es,400.865.355,-38.788.252,False,39619,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Yuncos', 'title': 'Piso en Calle los Perales'}",False,False,False,bj,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
14,98920305,750.0,flat,rent,149.0,True,2,2,Señorío de Illescas,Toledo,Illescas,es,401.572.265,-38.457.831,False,31281,False,good,False,5.0,{'typology': 'flat'},"{'subtitle': 'Señorío de Illescas, Illescas', 'title': 'Piso'}",False,False,False,bj,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
15,32499130,625.0,flat,rent,89.0,True,2,2,El Quiñón,Toledo,Seseña,es,401.342.218,-36.706.083,False,31530,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso'}",True,False,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
16,98898236,550.0,flat,rent,100.0,True,3,2,Yuncler,Toledo,Yuncler,es,400.436.526,-3.898.436,False,44665,False,good,False,6.0,{'typology': 'flat'},"{'subtitle': 'Yuncler', 'title': 'Piso'}",False,False,False,bj,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
17,98887280,500.0,flat,rent,90.0,True,3,2,"Avenida RUFINO RUBIO, 65",Toledo,Yeles,es,401.214.643,-38.048.639,True,33940,True,good,False,6.0,{'typology': 'flat'},"{'subtitle': 'Yeles', 'title': 'Piso en Avenida RUFINO RUBIO, 65'}",True,False,False,2,False,
18,98911662,550.0,flat,rent,106.0,True,2,1,"Calle Cardenal Reig, 1",Toledo,Ocaña,es,399.613.738,-34.926.595,True,53694,,,,,,,,,,,,
19,98857433,650.0,flat,rent,81.0,True,2,2,Calle Leonardo da Vinci,Toledo,Seseña,es,401.348.601,-36.683.768,False,31476,False,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso en Calle Leonardo da Vinci'}",False,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
20,98909007,550.0,flat,rent,90.0,True,3,2,Glorieta Ronda,Toledo,Yuncler,es,400.441.959,-38.982.087,False,44602,False,good,False,6.0,{'typology': 'flat'},"{'subtitle': 'Yuncler', 'title': 'Piso en Glorieta Ronda'}",False,False,False,,False,
21,94970614,550.0,penthouse,rent,80.0,True,2,1,"barrio de la estación, 2",Toledo,Yeles,es,401.268.056,-37.887.172,True,33038,True,good,False,7.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Yeles', 'title': 'Ático en barrio de la estación, 2'}",True,False,False,2,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
22,98099033,550.0,flat,rent,70.0,True,2,1,Ronda Quiñones,Toledo,Cedillo del Condado,es,401.140.717,-39.242.563,False,38520,False,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'Cedillo del Condado', 'title': 'Piso en Ronda Quiñones'}",False,False,False,,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
23,84584889,650.0,flat,rent,87.0,True,2,2,El Quiñón,Toledo,Seseña,es,401.282.733,-36.695.045,False,32197,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso'}",True,False,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
24,37914999,450.0,flat,rent,60.0,True,1,1,"Avenida RUFINO RUBIO, 70",Toledo,Yeles,es,401.218.293,-38.047.614,True,33898,True,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'Yeles', 'title': 'Piso en Avenida RUFINO RUBIO, 70'}",True,False,False,1,True,
25,34877121,620.0,flat,rent,87.0,True,2,2,El Quiñón,Toledo,Seseña,es,401.364.479,-36.657.006,False,31323,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso'}",True,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
26,97509111,400.0,flat,rent,55.0,True,1,1,"Avenida Rufino Rubio, 2",Toledo,Yeles,es,401.208.638,-38.042.647,True,33991,True,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Yeles', 'title': 'Piso en Avenida Rufino Rubio, 2'}",True,False,False,1,True,
27,98910558,500.0,flat,rent,115.0,True,3,2,Calle Pío XII,Toledo,Fuensalida,es,400.522.725,-42.100.279,False,59095,True,good,False,4.0,{'typology': 'flat'},"{'subtitle': 'Fuensalida', 'title': 'Piso en Calle Pío XII'}",False,False,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
28,30863032,650.0,flat,rent,95.0,True,2,2,Calle Joan Miro,Toledo,Seseña,es,401.280.863,-36.710.106,False,32207,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso en Calle Joan Miro'}",False,False,False,4,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
29,98869455,550.0,flat,rent,105.0,True,3,1,Travesía Beatriz,Toledo,El Viso de San Juan,es,401.438.987,-39.229.105,False,35598,False,good,False,5.0,{'typology': 'flat'},"{'subtitle': 'El Viso de San Juan', 'title': 'Piso en Travesía Beatriz'}",False,False,False,2,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
30,98854687,750.0,chalet,rent,216.0,False,3,2,Calle Venezuela,Toledo,Mocejón,es,399.332.884,-39.223.194,False,56881,False,good,False,3.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'Mocejón', 'title': 'Chalet adosado en Calle Venezuela'}",False,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
31,98909309,750.0,flat,rent,155.0,False,3,2,Calle Carlos Zabaleta,Toledo,Illescas,es,401.493.667,-38.348.124,False,31750,False,good,False,5.0,{'typology': 'flat'},"{'subtitle': 'Señorío de Illescas, Illescas', 'title': 'Piso en Calle Carlos Zabaleta'}",False,False,False,bj,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
32,98781973,700.0,chalet,rent,238.0,False,4,3,"Camino DE ILLESCAS, 2",Toledo,Yeles,es,401.196.695,-38.065.685,True,34170,True,good,False,3.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'Yeles', 'title': 'Chalet adosado en Camino DE ILLESCAS, 2'}",False,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
33,94093449,660.0,penthouse,rent,66.0,True,1,1,Calle Sorolla,Toledo,Seseña,es,401.269.066,-36.720.468,False,32330,False,good,False,10.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'El Quiñón, Seseña', 'title': 'Ático en Calle Sorolla'}",False,False,False,8,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
34,98456916,495.0,flat,rent,90.0,False,3,2,Calle Manuel Valdés,Toledo,Borox,es,400.643.502,-37.393.418,False,39297,False,good,False,6.0,{'typology': 'flat'},"{'subtitle': 'Borox', 'title': 'Piso en Calle Manuel Valdés'}",False,False,False,bj,True,
35,98889734,470.0,flat,rent,80.0,False,1,1,Fuensalida,Toledo,Fuensalida,es,400.493.725,-42.105.716,False,59351,False,good,False,6.0,{'typology': 'flat'},"{'subtitle': 'Fuensalida', 'title': 'Piso'}",False,False,False,1,True,
36,98913105,550.0,flat,rent,76.0,True,2,1,Yuncos,Toledo,Yuncos,es,400.947.108,-38.715.189,False,38544,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Yuncos', 'title': 'Piso'}",False,False,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
37,98889734,470.0,flat,rent,80.0,False,1,1,Fuensalida,Toledo,Fuensalida,es,400.493.725,-42.105.716,False,59351,False,good,False,6.0,{'typology': 'flat'},"{'subtitle': 'Fuensalida', 'title': 'Piso'}",False,False,False,1,True,
38,98913105,550.0,flat,rent,76.0,True,2,1,Yuncos,Toledo,Yuncos,es,400.947.108,-38.715.189,False,38544,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Yuncos', 'title': 'Piso'}",False,False,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
39,93952423,675.0,flat,rent,84.0,True,2,2,Calle Rembrandt,Toledo,Seseña,es,401.347.108,-3.668.926,False,31489,False,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso en Calle Rembrandt'}",False,False,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
40,97471330,340.0,flat,rent,50.0,True,1,1,Calle juan caro,Toledo,Fuensalida,es,400.532.137,-42.091.413,False,58969,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Fuensalida', 'title': 'Piso en Calle juan caro'}",True,False,False,1,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
41,92920280,685.0,flat,rent,84.0,True,2,2,Calle Sorolla,Toledo,Seseña,es,401.279.066,-36.726.468,False,32215,False,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso en Calle Sorolla'}",False,False,False,6,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
42,98685794,500.0,duplex,rent,70.0,True,3,2,barranco de carreteros,Toledo,Casarrubios del Monte,es,401.835.259,-40.403.571,False,38592,False,good,False,7.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Casarrubios del Monte', 'title': 'Dúplex en barranco de carreteros'}",False,False,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
43,98829932,460.0,flat,rent,85.0,True,1,1,La villa,Toledo,Casarrubios del Monte,es,401.843.187,-40.352.101,False,38210,False,good,False,5.0,{'typology': 'flat'},"{'subtitle': 'Casarrubios del Monte', 'title': 'Piso en La villa'}",False,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
44,98898736,460.0,flat,rent,55.0,True,1,1,Avenida Aranjuez s/n,Toledo,Mocejón,es,399.399.761,-39.139.485,True,55947,,,,,,,,,,,,
45,98919128,600.0,duplex,rent,70.0,True,2,1,Alameda de la Sagra,Toledo,Alameda de la Sagra,es,400.137.302,-37.908.558,False,45419,,,,,,,,,,,,
46,95224372,400.0,flat,rent,100.0,True,3,2,Cabañas de la Sagra,Toledo,Cabañas de la Sagra,es,40.009.603,-39.515.398,False,49933,False,good,False,4.0,{'typology': 'flat'},"{'subtitle': 'Cabañas de la Sagra', 'title': 'Piso'}",True,False,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
47,98115154,400.0,flat,rent,128.0,False,4,2,Calle Ancha,Toledo,Villaseca de la Sagra,es,399.626.457,-38.834.829,False,52756,False,good,False,3.0,{'typology': 'flat'},"{'subtitle': 'Villaseca de la Sagra', 'title': 'Piso en Calle Ancha'}",False,False,False,4,True,
48,95224372,400.0,flat,rent,100.0,True,3,2,Cabañas de la Sagra,Toledo,Cabañas de la Sagra,es,40.009.603,-39.515.398,False,49933,False,good,False,4.0,{'typology': 'flat'},"{'subtitle': 'Cabañas de la Sagra', 'title': 'Piso'}",True,False,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
49,98729660,660.0,flat,rent,91.0,True,2,2,Calle Claudio Coello,Toledo,Seseña,es,401.273.733,-36.715.045,False,32282,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso en Calle Claudio Coello'}",False,False,False,5,True,
50,98023024,500.0,flat,rent,100.0,True,3,1,Calle Don Hipólito Ezquerra,Toledo,Fuensalida,es,400.518.967,-42.097.306,False,59106,False,good,False,5.0,{'typology': 'flat'},"{'subtitle': 'Fuensalida', 'title': 'Piso en Calle Don Hipólito Ezquerra'}",False,False,False,3,False,
51,98212694,430.0,flat,rent,60.0,True,1,1,castilla la mancha,Toledo,Valmojado,es,402.069.459,-4.088.113,False,40108,True,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Valmojado', 'title': 'Piso en castilla la mancha'}",False,False,False,1,True,
52,96152026,700.0,chalet,rent,189.0,False,4,3,Camarena,Toledo,Camarena,es,400.888.133,-4.117.776,False,50661,False,good,False,4.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'Camarena', 'title': 'Chalet adosado'}",False,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
53,98895412,700.0,flat,rent,97.0,True,2,2,claudio coello s/n,Toledo,Seseña,es,401.272.247,-36.702.475,True,32308,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso en claudio coello s/n'}",False,False,False,6,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
54,98850156,620.0,flat,rent,97.0,True,2,2,van gogh s/n,Toledo,Seseña,es,401.367.969,-36.664.137,True,31278,False,good,False,6.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso en van gogh s/n'}",False,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
55,98424038,550.0,flat,rent,79.0,True,2,2,Calle San Juan,Toledo,Ocaña,es,399.627.744,-35.014.766,False,53302,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Centro, Ocaña', 'title': 'Piso en Calle San Juan'}",True,False,False,1,True,
56,98810940,650.0,flat,rent,176.0,True,3,2,Cedillo,Toledo,Lominchar,es,400.910.982,-39.638.562,False,42423,False,good,False,4.0,{'typology': 'flat'},"{'subtitle': 'Lominchar', 'title': 'Piso en Cedillo'}",False,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
57,92700032,650.0,flat,rent,87.0,False,2,2,El Quiñón,Toledo,Seseña,es,40.135.057,-36.707.164,False,31437,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso'}",False,False,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
58,98719654,750.0,chalet,rent,160.0,False,3,3,"Arcicollar, 12",Toledo,Santa Cruz del Retamar,es,401.161.765,-42.364.093,True,56238,False,good,False,5.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}","{'subtitle': 'Santa Cruz del Retamar', 'title': 'Chalet pareado en Arcicollar, 12'}",False,False,False,,,
59,98264932,750.0,countryHouse,rent,341.0,False,2,1,sexta bandera,Toledo,Las Ventas de Retamosa,es,401.570.082,-41.128.442,False,45173,False,good,False,2.0,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}","{'subtitle': 'Las Ventas de Retamosa', 'title': 'Casa de pueblo en sexta bandera'}",False,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
60,37032253,525.0,flat,rent,57.0,True,1,1,Caridad del Cobre,Toledo,Illescas,es,4.012.629,-38.484,False,34558,False,good,False,9.0,{'typology': 'flat'},"{'subtitle': 'Parque - Ctra de Ugena, Illescas', 'title': 'Piso en Caridad del Cobre'}",False,False,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
61,93324287,480.0,flat,rent,80.0,True,2,1,Las Ventas de Retamosa,Toledo,Las Ventas de Retamosa,es,401.548.085,-41.129.467,False,45337,False,good,False,6.0,{'typology': 'flat'},"{'subtitle': 'Las Ventas de Retamosa', 'title': 'Piso'}",False,False,False,1,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
